tipo,n_registros,n_termos,n_topicos,perplexidade,log_likelihood
TCC,2110,200,10,305.9551247230494,-25953.72342639162
TCC,2110,200,11,309.72908270691585,-26009.31604588229
TCC,2110,200,12,318.72706891992453,-26139.17523067454
TCC,2110,200,13,332.452031537972,-26330.35753507272
TCC,2110,200,14,360.69194841578405,-26700.06062246415
TCC,2110,200,15,378.4790873298344,-26918.342487747002
TCC,2110,200,16,373.1126355675592,-26853.585703548455
TCC,2110,200,17,397.16528634371423,-27136.874475386783
TCC,2110,200,18,422.17083882940574,-27413.748296937425
TCC,2110,200,19,441.07791026072226,-27612.41743998574
TCC,2110,200,20,454.56163739238565,-27748.96443881143
TCC,2110,200,21,464.9593768918604,-27851.522177682364
TCC,2110,200,22,498.1263332797679,-28163.975473964158
TCC,2110,200,23,501.85004200299784,-28197.74777266368
TCC,2110,200,24,492.3307321855801,-28110.906530673885
TCC,2110,200,25,532.5386573875275,-28466.897318470386
TCC,2110,200,26,560.0323945940938,-28695.167106556197
TCC,2110,200,27,530.87131506409,-28452.67740173269
TCC,2110,200,28,579.4197003820709,-28849.4919891214
TCC,2110,200,29,572.9371518115626,-28798.47250957093
TCC,2110,200,30,619.648283219666,-29153.879342545177
Artigo,3444,216,5,269.8318987812612,-28386.31358014689
Artigo,3444,216,6,308.2745615639275,-29061.725447066125
Artigo,3444,216,7,323.4163422637723,-29304.877088553563
Artigo,3444,216,8,345.1061668202055,-29634.04245792956
Artigo,3444,216,9,385.6171717843907,-30196.88543609331
Artigo,3444,216,10,404.43397829153747,-30438.484099492398
Artigo,3444,216,11,401.00652089653664,-30395.325941364503
Artigo,3444,216,12,446.9505036484767,-30945.375729994415
Artigo,3444,216,13,468.4564375222287,-31183.687615805648
Artigo,3444,216,14,489.36404155799886,-31405.104542124234
Artigo,3444,216,15,495.82226441425695,-31471.589371760107
Artigo,3444,216,16,519.400880761068,-31707.17922903517
Artigo,3444,216,17,537.8438188641712,-31884.116909282147
Artigo,3444,216,18,582.2153007654255,-32286.103910590144
Artigo,3444,216,19,580.0019456535035,-32266.789298703537
Artigo,3444,216,20,604.4583486212431,-32476.227298741705
Projeto,3323,1687,5,2460.739195471915,-122964.90251089272
Projeto,3323,1687,6,2664.4598341252195,-124217.50266741311
Projeto,3323,1687,7,2867.208304824562,-125372.43182544778
Projeto,3323,1687,8,2984.1963363364302,-126002.22574750498
Projeto,3323,1687,9,3199.2535435673853,-127098.09223267794
Projeto,3323,1687,10,3643.188826902792,-129144.43455026245
Projeto,3323,1687,11,3901.6007011269608,-130223.61615113508
Projeto,3323,1687,12,4116.415712088248,-131067.65204260898
Projeto,3323,1687,13,3910.810450943267,-130260.74591863663
Projeto,3323,1687,14,4969.391152328851,-134033.2555740396
Projeto,3323,1687,15,4205.299044303632,-131404.0732037468
Projeto,3323,1687,16,5414.704567691157,-135384.77665970946
Projeto,3323,1687,17,5245.282695743011,-134884.15613820113
Projeto,3323,1687,18,5695.713686003044,-136181.5630798632
Projeto,3323,1687,19,5478.86233214266,-135570.27645150956
Projeto,3323,1687,20,5007.427982278828,-134153.33638361463
